representation,metric,silhouette(repr),spearman(densmap),trustworthiness(densmap),silhouette(densmap),,
beginning_of_sequence,cosine,-0.11394471,0.6737400396248758,0.8980165854492606,-0.10805469,,
beginning_of_sequence,euclidean,-0.046347577,0.7045955521085702,0.9156987750216783,-0.08532969,,
beginning_of_sequence,manhattan,-0.042592469,0.7290257199696657,0.9020420376409092,-0.106046849,,
beginning_of_sequence,ts_ss,-0.159262459,0.6989052377406101,0.905269972,-0.156088819,,
end_of_sequence,cosine,-0.081308569,0.6303058460887035,0.8363731848215049,-0.132907865,,
end_of_sequence,euclidean,-0.032594038,0.6192238011402805,0.8507419484849595,-0.099350747,,
end_of_sequence,manhattan,-0.030867188,0.6098995620710419,0.8530380195166037,-0.089619608,,
end_of_sequence,ts_ss,-0.148359163,0.581674001,0.8337265965632213,-0.135219617,,
mean_of_special_tokens,cosine,-0.067543038,0.6428446335359252,0.8763468044309286,-0.132413401,,
mean_of_special_tokens,euclidean,-0.028156574,0.6234074248560746,0.8844294629880678,-0.117667175,,
mean_of_special_tokens,manhattan,-0.026190872,0.6208817390864924,0.8761611646453914,-0.099178508,,
mean_of_special_tokens,ts_ss,-0.102567294,0.5934239338244887,0.855567362,-0.134886447,,
mean_of_residue_tokens,cosine,-0.102886792,0.7153502927751955,0.9219189291515529,-0.162186304,,
mean_of_residue_tokens,euclidean,-0.044313523,0.7650872634565831,0.9334347024267516,-0.128905726,,
mean_of_residue_tokens,manhattan,-0.042815662,0.7666239945350788,0.9211446158355623,-0.095498761,,
mean_of_residue_tokens,ts_ss,-0.171985368,0.7631914619318506,0.9342969503779968,-0.127273836,,