representation,metric,silhouette(repr),spearman(densmap),trustworthiness(densmap),silhouette(densmap),,,
beginning_of_sequence,cosine,0.37982302458060396,0.7099017808762769,0.8944014948887993,0.7874060539837603,,,
beginning_of_sequence,euclidean,0.24364126616398626,0.7202781852780101,0.9148267565554049,0.7330694494664178,,,
beginning_of_sequence,manhattan,0.2457995849973408,0.7367690436599583,0.901751365,0.7705787043264646,,,
beginning_of_sequence,ts_ss,0.43281620540669874,0.7225351481927891,0.9053212667472734,0.7811974542565815,,,
end_of_sequence,cosine,0.16743741030870563,0.6423026256806311,0.8492812564882326,0.7017534411331396,,,
end_of_sequence,euclidean,0.14919589244681858,0.6226398962280434,0.8555368287350846,0.6476146327281552,,,
end_of_sequence,manhattan,0.156974647,0.6162517030321407,0.8567544791704833,0.636999265,,,
end_of_sequence,ts_ss,0.072317544,0.46770176523096085,0.8322536914227091,0.5657281947463817,,,
mean_of_special_tokens,cosine,0.2792447201815169,0.6451759729282893,0.8830481564259456,0.6867562543146363,,,
mean_of_special_tokens,euclidean,0.19644440366709412,0.6322358541561123,0.880149977,0.6928203295619269,,,
mean_of_special_tokens,manhattan,0.201477051,0.6425795521849541,0.8838029287118797,0.7098213884044438,,,
mean_of_special_tokens,ts_ss,0.22957180851702924,0.6310481003972388,0.8636622332954726,0.7490821941291335,,,
mean_of_residue_tokens,cosine,0.40114613716562364,0.7430237364753467,0.9319239365405049,0.664806607,,,
mean_of_residue_tokens,euclidean,0.25352736031385625,0.7608126024148337,0.9342346633446915,0.7147690134113838,,,
mean_of_residue_tokens,manhattan,0.24949109411411108,0.7519664990973024,0.9168211629355513,0.6689466530986303,,,
mean_of_residue_tokens,ts_ss,0.47377185118386933,0.7636971543358603,0.9408077773299625,0.6691280279022442,,,